Dis No,Year,Seq,Glide,Disaster Group,Disaster Subgroup,Disaster Type,Disaster Subtype,Disaster Subsubtype,Event Name,Country,ISO,Region,Continent,Location,Origin,Associated Dis,Associated Dis2,OFDA Response,Appeal,Declaration,Aid Contribution,Dis Mag Value,Dis Mag Scale,Latitude,Longitude,Local Time,River Basin,Start Year,Start Month,Start Day,End Year,End Month,End Day,Total Deaths,No Injured,No Affected,No Homeless,Total Affected,Reconstruction Costs ('000 US$),"Reconstruction Costs, Adjusted ('000 US$)",Insured Damages ('000 US$),"Insured Damages, Adjusted ('000 US$)",Total Damages ('000 US$),"Total Damages, Adjusted ('000 US$)",CPI,Adm Level,Admin1 Code,Admin2 Code,Geo Locations
2015-0249-IND,2015,0249,,Natural,Hydrological,Flood,Riverine flood,,,India,IND,Southern Asia,Asia,"Amreli, Rajkot, Surat districts (Gujarat province), Maharashtra province",Monsoon rains,,,,,,,43782,Km2,21.8734,70.76,,,2015,6,19,2015,6,20,81,,9000,,9000,,,,,604000,659539,91.5791170307852,1;2,1498,17636;17647;17649,"Maharashtra (Adm1). Amreli, Rajkot, Surat (Adm2). "
2015-0226-IND,2015,0226,FL-2015-000066,Natural,Hydrological,Landslide,Landslide,,,India,IND,Southern Asia,Asia,"Barpeta, Sonitpur, Goalpara, Dhemaji, Lakhimpur, Tinsukia, Darrang, Nalbari, Jorhat, Kamrup, Dibrugarh, Nagaon, Bongaigaon districts (Assam province) ",Seosnal monsoon,,,,,,,,,26.9195,93.87,,Bhrahmaputra river,2015,6,2,2015,6,29,3,,9000,,9000,,,,,,,91.5791170307852,2,,17576;17578;17580;17581;17583;17589;17590;17593;70086;70087;70089;70091;70093,"Barpeta, Bongaigaon, Darrang, Dhemaji, Dibrugarh, Goalpara, Jorhat, Kamrup, Lakhimpur, Nagaon, Nalbari, Sonitpur, Tinsukia (Adm2). "
2015-0189-IND,2015,0189,,Natural,Meteorological,Extreme temperature ,Heat wave,,,India,IND,Southern Asia,Asia,"Delhi, Andhra Pradesh, Orissa provinces",,,,,,,,48,°C,,,,,2015,5,20,2015,5,31,2248,,,,,,,,,,,91.5791170307852,1,1485;1489;1504,,"Andhra Pradesh, Delhi, Orissa (Adm1). "
2015-9618-IND,2015,9618,,Natural,Climatological,Drought,Drought,,,India,IND,Southern Asia,Asia,"Tamil Nadu, Rajasthan, Jharkhand, Assam, Andhra Pradesh, Himachal Pradesh, Nagaland; Maharashtra, Bihar, Madhya Pradesh, Chhattisgarh, Telangana, Jharkand, Odisha states",Erratic rainfall,,,,,,,,Km2,,,,,2015,1,,2016,12,,,,330000000,,330000000,,,400000,436781,3000000,3275856,91.5791170307852,1,1485;1487;1493;1498;1503;1506;1508;70073;70075;70078;70079,,"Andhra Pradesh, Assam, Bihar, Chhattisgarh, Himachal Pradesh, Jharkhand, Madhya Pradesh, Maharashtra, Nagaland, Rajasthan, Tamil Nadu (Adm1). "
2015-0374-IND,2015,0374,,Natural,Hydrological,Flood,,,,India,IND,Southern Asia,Asia,Assam province,Monsoonal rain,,,,,,,69190,Km2,26.8946,93.75,,Brahmaputra river,2015,8,13,2015,8,19,5,,18000,,18000,,,,,,,91.5791170307852,1,1487,,Assam (Adm1). 
2015-0406-IND,2015,0406,,Natural,Hydrological,Flood,,,,India,IND,Southern Asia,Asia,"Dhemaji, Kokrajhar, Bongaigaon, Sonitpur, Barpeta, Goalpara, Marigaon, Cachar, Lakhimpur, Jorhat, Tinsukia, Darrang, Nalbari, Kamrup, Dibrugarh, Sibsagar districts (Assam province) ",Hearvy rain,,,,,,,,Km2,,,,,2015,8,28,2015,8,30,18,,736000,51000,787000,,,,,,,91.5791170307852,2,,17576;17577;17578;17580;17581;17583;17590;17592;17593;70086;70087;70089;70090;70091;70092;70093,"Barpeta, Bongaigaon, Cachar, Darrang, Dhemaji, Dibrugarh, Goalpara, Jorhat, Kamrup, Kokrajhar, Lakhimpur, Marigaon, Nalbari, Sibsagar, Sonitpur, Tinsukia (Adm2). "
2015-0504-IND,2015,0504,TC-2015-000163,Natural,Hydrological,Flood,,,,India,IND,Southern Asia,Asia,"Chittoor, Cuddapah, Prakasam, Nellore districts (Andhra Pradesh province), Chennai, Cuddalore, Nagapattinam, Kancheepuram, Thiruvallur, Villupuram districts (Tamil Nadu province), Puducherry province",Tropical depression 'Rovan',,,,,Yes,,93202,Km2,118.278,788.55,,,2015,11,8,2015,12,4,325,1000,1800000,,1801000,,,755000,824424,2200000,2402294,91.5791170307852,1;2,70080,17549;17550;17561;17563;70242;70243;70244;70247;70251;70255,"Puducherry (Adm1). Chennai, Chittoor, Cuddalore, Cuddapah, Kancheepuram, Nagapattinam, Nellore, Prakasam, Thiruvallur, Villupuram (Adm2). "
2015-0088-IRN,2015,0088,,Natural,Hydrological,Flood,Flash flood,,,Iran (Islamic Republic of),IRN,Southern Asia,Asia,Bandar-e Abbas district (Hormozgan province),Torrential rains,,,,,,,,Km2,,,,,2015,3,10,2015,3,11,3,,,2000,2000,,,,,60000,65517,91.5791170307852,2,,40896,Bandar-e abbas (Adm2). 
2015-0258-IRN,2015,0258,,Natural,Hydrological,Flood,Flash flood,,,Iran (Islamic Republic of),IRN,Southern Asia,Asia,"Tehran, Mazandaran, Ghazvin, Khorasan, Kordestan, Kerman, Semnan, Zanjan, West Azarbayejan provinces",Severe thunderstorms,,,,,,,776608,Km2,33.6304,54.04,,,2015,7,14,2015,7,21,23,30,4000,,4030,,,,,,,91.5791170307852,1,1547;1550;1553;1557;1558;1560;1561;1563;33112,,"Ghazvin, Kerman, Khorasan, Kordestan, Mazandaran, Semnan, Tehran, West Azarbayejan, Zanjan (Adm1). "
2015-0499-IRN,2015,0499,,Natural,Hydrological,Flood,Flash flood,,,Iran (Islamic Republic of),IRN,Southern Asia,Asia,"Tudan district (Hormozgan province), Fars, Kerman provinces",,,,,,,,,Km2,,,,,2015,11,12,2015,11,12,9,,17700,,17700,,,,,516000,563447,91.5791170307852,1;2,1544;1550,41078,"Fars, Kerman (Adm1). Rudan (Adm2). "
2015-0438-IRN,2015,0438,,Natural,Hydrological,Flood,,,,Iran (Islamic Republic of),IRN,Southern Asia,Asia,"Pakdasht district (Tehran province), Hormozgan province",,,,,,,,,Km2,,,,,2015,9,18,2015,9,18,14,,,,,,,,,,,91.5791170307852,1;2,1548,41060,Hormozgan (Adm1). Pakdasht (Adm2). 
2015-0485-IRQ,2015,0485,,Natural,Hydrological,Flood,Flash flood,,,Iraq,IRQ,Western Asia,Asia,"Baghdad, Wassit provinces",,,,,,,,,Km2,,,,,2015,10,28,2015,10,30,58,,65000,,65000,,,,,,,91.5791170307852,1,1572;1581,,"Baghdad, Wassit (Adm1). "
2015-0427-ISR,2015,0427,,Natural,Meteorological,Storm,Convective storm,Sand/Dust storm,,Israel,ISR,Western Asia,Asia,"Central District, Haifa, Jerusalem, Northern, Southern District, Tel Aviv provinces",,,,,,,,,Kph,,,,,2015,9,8,2015,9,10,,200,,,200,,,,,,,91.5791170307852,1,1610;1611;1612;1613;1614;1615,,"Central District, Haifa, Jerusalem, Northern, Southern District, Tel Aviv (Adm1). "
2015-0532-ITA,2015,0532,,Natural,Hydrological,Flood,Flash flood,,,Italy,ITA,Southern Europe,Europe,"Reggio Calabria, Catanzaro districts (Calabria province); Messina, Catania districts (Sicilia province)",,,,,,,,,Km2,,,,,2015,11,1,2015,11,13,2,,,,,,,,,,,91.5791170307852,2,,18323;18326;18392;18394,"Catania, Catanzaro, Messina, Reggio Calabria (Adm2). "
2015-0598-ITA,2015,0598,,Natural,Hydrological,Flood,Flash flood,,,Italy,ITA,Southern Europe,Europe,"Corigiano Calabro, Rossano Calabro (Cosenza province, Calabria)",Heavy rains,,,,,Yes,,,Km2,,,,,2015,8,11,2015,8,12,,,500,,500,,,,,111000,121207,91.5791170307852,2,,18324,Cosenza (Adm2). 
2015-0176-JPN,2015,0176,TC-2015-000051,Natural,Meteorological,Storm,Tropical cyclone,,Typhoon Noul (Dodong),Japan,JPN,Eastern Asia,Asia,"Amagityoo, Isentyoo, Kasarityoo, Nazesi, Setootityoo, Sumiyooson, Tatugootyoo, Tokunosimatyoo, Ukenson, Yamatoson districts (Kagosima province), Okinawa province",,,,,,,,180,Kph,,,,,2015,5,12,2015,5,12,,6,39,,45,,,,,23200,25333,91.5791170307852,1;2,1681,34712;34727;34737;34765;34779;34783;34788;34791;34795;34800,"Okinawa (Adm1). Amagityoo, Isentyoo, Kasarityoo, Nazesi, Setootityoo, Sumiyooson, Tatugootyoo, Tokunosimatyoo, Ukenson, Yamatoson (Adm2). "
2015-0371-JPN,2015,0371,,Natural,Meteorological,Storm,Tropical cyclone,,Typhoon Goni (Ineng),Japan,JPN,Eastern Asia,Asia,Kumamoto province,,,,,,,,198,Kph,,,,,2015,8,25,2015,8,25,,70,,,70,,,,,,,91.5791170307852,1,1670,,Kumamoto (Adm1). 
2015-0458-JPN,2015,0458,,Natural,Meteorological,Storm,Tropical cyclone,,Typhoon Dujuan,Japan,JPN,Eastern Asia,Asia,Okinawa province,,,,,,,,,Kph,,,,,2015,9,28,2015,9,28,,,,,,,,,,,,91.5791170307852,1,1681,,Okinawa (Adm1). 
2015-0575-JPN,2015,0575,,Natural,Meteorological,Extreme temperature ,Heat wave,,,Japan,JPN,Eastern Asia,Asia,"Oosaka province, Tokyo, Saitama",,,,,,,,,°C,,,,,2015,8,3,2015,8,9,32,11187,,,11187,,,,,,,91.5791170307852,1,1682;1684;1690,,"Oosaka, Saitama, Tookyoo (Adm1). "
2015-0610-JPN,2015,0610,,Natural,Meteorological,Extreme temperature ,Heat wave,,,Japan,JPN,Eastern Asia,Asia,Entire country,,,,,,,,,°C,,,,,2015,5,11,2015,5,,2,480,,,480,,,,,,,91.5791170307852,1,1651;1652;1653;1654;1655;1656;1657;1658;1659;1660;1661;1662;1663;1664;1665;1666;1667;1668;1669;1670;1671;1672;1673;1674;1675;1676;1677;1678;1679;1680;1681;1682;1683;1684;1685;1686;1687;1688;1689;1690;1691;1692;1693;1694;1695;1696;1697,,"Aiti, Akita, Aomori, Ehime, Gifu, Gunma, Hirosima, Hokkaidoo, Hukui, Hukuoka, Hukusima, Hyoogo, Ibaraki, Isikawa, Iwate, Kagawa, Kagosima, Kanagawa, Kooti, Kumamoto, Kyooto, Mie, Miyagi, Miyazaki, Nagano, Nagasaki, Nara, Niigata, Okayama, Okinawa, Ooita, Oosaka, Saga, Saitama, Siga, Simane, Sizuoka, Tiba, Tokusima, Tookyoo, Totigi, Tottori, Toyama, Wakayama, Yamagata, Yamaguti, Yamanasi (Adm1). "
2015-0611-JPN,2015,0611,,Natural,Meteorological,Extreme temperature ,Heat wave,,,Japan,JPN,Eastern Asia,Asia,"Funabashi (Chiba Prefecture), Isesaki City, Tatebayashi (Gunma Prefecture), Tokyo, Iwate, Yagamata",,,,,,,,,°C,,,,,2015,7,12,2015,7,15,5,3200,,,3200,,,,,,,91.5791170307852,1,1659;1665;1690;1693;1695,,"Gunma, Iwate, Tiba, Tookyoo, Yamagata (Adm1). "
2015-0154-KAZ,2015,0154,FL-2015-000039,Natural,Hydrological,Flood,Flash flood,,,Kazakhstan,KAZ,Central Asia,Asia,"Temirtaou city (Bukhar-Zhyrau district, Karagandinskaya province), Karkaraly, Shet, Abay district (Karagandinskaya province), Akmolinskaya, Pavlodarskaya provinces","Sudden rise of temperature, snow melt",,,,,Yes,,,Km2,,,,,2015,4,8,2015,4,12,2,,12670,,12670,,,,,5300,5787,91.5791170307852,1;2,1714;1725,37225;37227;37228;37231,"Akmolinskaya, Pavlodarskaya (Adm1). Abay, Bukhar-Zhyrau, Karkaraly, Shet (Adm2). "
2015-0158-KEN,2015,0158,,Natural,Hydrological,Flood,Flash flood,,,Kenya,KEN,Eastern Africa,Africa,Homa Bay district (Nyanza province),Torrential rain,,,,,,,,Km2,,,,,2015,4,4,2015,4,10,13,,1500,,1500,,,,,,,91.5791170307852,2,,51368,Homa Bay (Adm2). 
2015-0159-KEN,2015,0159,FL-2015-000049,Natural,Hydrological,Flood,Riverine flood,,,Kenya,KEN,Eastern Africa,Africa,"Narok district (Rift Valley province), Kisumu, Central Kisii, Homa Bay districts (Nyanza province), Nairobi district (Nairobi province)",Heavy rains,,,,,,,20432,Km2,-0.795,36.25,,,2015,4,27,2015,5,2,13,,3000,,3000,,,,,,,91.5791170307852,2,,51360;51366;51368;51369;51388,"Central Kisii, Homa Bay, Kisumu, Nairobi, Narok (Adm2). "
2015-0564-KEN,2015,0564,FL-2015-000169,Natural,Hydrological,Flood,Riverine flood,,,Kenya,KEN,Eastern Africa,Africa,"Mt Elgon, Busia, Bungoma districts (Western province), Kirinyaga district (Central province), Kisumu district (Nyanza province), Tana River district (Coast province), Marsabit, Isiolo, Machakos districts (Eastern province), Mandera, Wajir districts (North Eastern province), Narok, Nandi North, Nandi South, Trans Nzoia districts (Rift Valley province)",Heavy rains,,,,,,,103770,Km2,-203.643,395.13,,"Garissa, Tana, Nyando, Kilifi, Nzoia rivers",2015,12,1,2016,1,6,112,73,240726,,240799,,,,,,,91.5791170307852,2,,51334;51346;51348;51350;51352;51363;51364;51369;51388;51391;51395;51396;51400;68769;68770,"Bungoma, Busia, Isiolo, Kirinyaga, Kisumu, Machakos, Mandera, Marsabit, Mt Elgon, Nandi North, Nandi South, Narok, Tana River, Trans Nzoia, Wajir (Adm2). "
2015-0512-KGZ,2015,0512,EQ-2015-000158,Natural,Geophysical,Earthquake,Ground movement,,,Kyrgyzstan,KGZ,Central Asia,Asia,"Chong-Alay, Alay, Kara-Suu, Kara-Kulja, Aravan districts (Osh province)",,,,,,,,6,Richter,40.376,73.204,23.29,,2015,11,17,2015,11,17,,,11490,5290,16780,,,,,12000,13103,91.5791170307852,2,,18616;18617;18618;18619;18620,"Alay, Aravan, Chong-Alay, Kara-Kulja, Kara-Suu (Adm2). "
2015-0324-LAO,2015,0324,,Natural,Hydrological,Flood,,,,Lao People's Democratic Republic (the),LAO,South-Eastern Asia,Asia,"Houaphan, Bolikhamxai, Khammouan, Louang-Namtha provinces",Continuous rains,,,,,,,,Km2,,,,Mekong river,2015,8,1,2015,8,15,,,47800,,47800,,,,,10000,10920,91.5791170307852,1,1755;1757;1758;1760,,"Bolikhamxai, Houaphan, Khammouan, Louang-Namtha (Adm1). "
2015-0427-LBN,2015,0427,,Natural,Meteorological,Storm,Convective storm,Sand/Dust storm,,Lebanon,LBN,Western Asia,Asia,"Baalbeck, Temnine towns (Baalbeck district, Bekaa province)",,,,,,,,,Kph,,,,,2015,9,8,2015,9,8,3,750,,,750,,,,,,,91.5791170307852,2,,18791,Baalbek (Adm2). 
2015-0002-LBN,2015,0002,CW-2015-000002,Natural,Meteorological,Storm,Convective storm,Winter storm/Blizzard,Huda,Lebanon,LBN,Western Asia,Asia,"Saida, Sour districts (South province), Tripoli, Akkar districts (North province)",,,,,,,,110,Kph,,,,,2015,1,6,2015,1,10,2,,1000000,,1000000,,,,,,,91.5791170307852,2,,18797;18802;18805;18806,"Akkar, Saida, Sour, Tripoli (Adm2). "
2015-0391-LBN,2015,0391,,Natural,Meteorological,Storm,Convective storm,Winter storm/Blizzard,,Lebanon,LBN,Western Asia,Asia,"Beirut, Bekaa, Mount Lebanon, Nabatiye, North, South provinces",,,,,,,,,Kph,,,,,2015,2,10,2015,2,17,,,942,,942,,,,,,,91.5791170307852,1,1797;1798;1799;1800;1801;1802,,"Beirut, Bekaa, Mount Lebanon, Nabatiye, North, South (Adm1). "
2015-0530-LKA,2015,0530,,Natural,Hydrological,Flood,Flash flood,,,Sri Lanka,LKA,Southern Asia,Asia,"Trincomalee, Ampara districts (Eastern province), Jaffna, Mullattivu, Kilinochchi districts (Northern province), Puttalam district (North Western province), Gampaha district (Western province), Moneragala district (Uva province)",Heavy rains,,,,,,,,Km2,,,,,2015,11,15,2015,12,4,2,,20000,,20000,,,,,,,91.5791170307852,2,,25832;25834;25838;25839;25840;25842;25850;25852,"Ampara, Gampaha, Jaffna, Kilinochchi, Moneragala, Mullattivu, Puttalam, Trincomalee (Adm2). "
2015-0057-MDG,2015,0057,,Natural,Hydrological,Flood,Flash flood,,,Madagascar,MDG,Eastern Africa,Africa,"Antananarivo I, Antananarivo II, Antananarivo III, Antananarivo IV, Antananarivo V, Antananarivo VI, Antananarivo Atsimondrano, Antananarivo Avaradrano districts (Analamanga province)",Torrential rains,,,,,,,,Km2,,,,"Ikopa, Sisaony, Mamba",2015,2,27,2015,2,27,26,,,24000,24000,,,,,,,91.5791170307852,2,,123870;123871;123872;123873;123874;123875;154522;154523,"Antananarivo Atsimondrano, Antananarivo Avaradrano, Antananarivo I, Antananarivo II, Antananarivo III, Antananarivo IV, Antananarivo V, Antananarivo VI (Adm2). "
2015-0074-MDG,2015,0074,,Natural,Meteorological,Storm,Tropical cyclone,,Tropical storm 'Fundi',Madagascar,MDG,Eastern Africa,Africa,"Androy, Anosy, Atsimo Andrefana, Menabe provinces",,,,,,,,,Kph,,,,,2015,2,7,2015,2,8,6,,,8430,8430,,,,,10000,10920,91.5791170307852,1,41754;41755;41756;41767,,"Androy, Anosy, Atsimo Andrefana, Menabe (Adm1). "
2015-0187-MEX,2015,0187,,Natural,Meteorological,Storm,Convective storm,Tornado,,Mexico,MEX,Central America,Americas,Acuna district (Coahuila province),,,,,,,,200,Kph,,,,,2015,5,25,2015,5,26,14,229,1350,741,2320,,,,,,,91.5791170307852,2,,19775,Acuna (Adm2). 
2015-0382-MEX,2015,0382,,Natural,Hydrological,Flood,Riverine flood,,,Mexico,MEX,Central America,Americas,"Manzanillo district (Colima province), Cihuatlan district (Jalisco province), Morelia, Zamora, Apatzingán districts (Michoacan province), Guerrero province",Heavy rain,,,,,,,60979,Km2,19.4811,-103.43,,,2015,3,13,2015,3,23,,,3000,,3000,,,,,,,91.5791170307852,1;2,2039,19818;20105;20333;20384;20436,"Guerrero (Adm1). Apatzingan, Cihuatlan, Manzanillo, Morelia, Zamora (Adm2). "
2015-0023-MKD,2015,0023,FL-2015-00009,Natural,Hydrological,Flood,Riverine flood,,,Macedonia (the former Yugoslav Republic of),MKD,Southern Europe,Europe,"Konce, Radovis districts (Radovis province), Cesinovo, Oblesevo districts (Kocani province); Stip, Karbinci districts (Stip province), Mogila, Novaci, Bitola districts (Bitola province), Kumanovo district (Kumanovo province), Strumica, Bosilevo districts (Strumica province), Prilep, Krivogashtani districts (Prilep province); Kicevo district (Kicevo province), Sveti Nikole district (Sveti Nikole province), Gazi Baba district (Skopje province), Gostivar district (Gostivar province), Ohrid district (Ohrid province), Struga district (Struga province), Resen district (Resen province)",Heavy rains,,,,,,,,Km2,,,,,2015,1,31,2015,2,3,,,100000,,100000,,,,,,,91.5791170307852,2,,27200;27204;27205;27221;27232;27236;27239;27248;27257;27259;27260;27265;27267;27268;27274;27285;27286;27290;27293;27297;27300,"Bitola, Bosilovo, Cesinovo, Gazi Baba, Gostivar, Karbinci, Kicevo, Konce, Krivogastani, Kumanovo, Mogila, Novaci, Oblesovo, Ohrid, Prilep, Radovis, Resen, Stip, Struga, Strumica, Sveti Nokole (Adm2). "
2015-0337-MLI,2015,0337,,Natural,Hydrological,Flood,,,,Mali,MLI,Western Africa,Africa,Menaka district (Gao province),Heavy rains,,,,,,,,Km2,,,,,2015,8,8,2015,8,9,5,,2000,,2000,,,,,,,91.5791170307852,2,,19375,Menaka (Adm2). 
2015-0118-MMR,2015,0118,,Natural,Meteorological,Storm,Convective storm,Lightning/Thunderstorms,,Myanmar,MMR,South-Eastern Asia,Asia,"Chin, Kachin, Sagaing, Shan (N) provinces",,,,,,,,,Kph,,,,,2015,4,4,2015,4,5,3,,,,,,,,,,,91.5791170307852,1,2125;2127;2133;41775,,"Chin, Kachin, Sagaing, Shan (N) (Adm1). "
2015-0492-MMR,2015,0492,,Natural,Hydrological,Flood,Flash flood,,,Myanmar,MMR,South-Eastern Asia,Asia,"Kalewa area (Kale district, Sagaing province)",,,,,,,,,Km2,,,,,2015,10,8,2015,10,8,16,,,,,,,,,,,91.5791170307852,2,,41815,Kale (Adm2). 
2015-0449-MMR,2015,0449,,Natural,Hydrological,Landslide,Landslide,,,Myanmar,MMR,South-Eastern Asia,Asia,"Tonzang village (Falam district, Chin state)",,,,,,,,,,,,,,2015,10,9,2015,10,9,21,,,900,900,,,,,,,91.5791170307852,2,,41786,Falam (Adm2). 
2015-0455-MMR,2015,0455,,Natural,Hydrological,Landslide,Landslide,,,Myanmar,MMR,South-Eastern Asia,Asia,"Hpasawng village (Bawlake district, Kayar province)",Heavy rains,,,,,,,,,,,,,2015,10,11,2015,10,11,17,,,300,300,,,,,,,91.5791170307852,2,,41791,Bawlake (Adm2). 
2015-0011-MOZ,2015,0011,FL-2015-000006,Natural,Hydrological,Flood,Riverine flood,,,Mozambique,MOZ,Eastern Africa,Africa,"Zambezia, Nampula, Maputo, Gaza, Cabo Delgado provinces",Torrential rains,,,Yes,,Yes,,,Km2,,,,Licungo river,2015,1,1,2015,2,9,160,,177645,,177645,,,,,,,91.5791170307852,1,2112;2113;2118;2122;41373,,"Cabo Delgado, Gaza, Maputo, Nampula, Zambezia (Adm1). "
2015-0368-NER,2015,0368,,Natural,Hydrological,Flood,Riverine flood,,,Niger (the),NER,Western Africa,Africa,"Agadez, Dosso, Maradi, Niamey, Tahoua, Tillaberi, Zinder provinces",Heavy rains,,,,,,,,Km2,14.8417,2.5,,686734.8,2015,7,25,2015,10,,27,,87037,,87037,,,,,,,91.5791170307852,1,2202;2204;2205;2206;2207;2208;2209,,"Agadez, Dosso, Maradi, Niamey, Tahoua, Tillaberi, Zinder (Adm1). "
2015-0448-NGA,2015,0448,,Natural,Hydrological,Flood,Riverine flood,,,Nigeria,NGA,Western Africa,Africa,"Kano, Katsina, Sokoto, Kebbi, Zamfara, Kaduna, Jigawa, Adamawa, Yobe, Gombe, Bauchi, Anambra, Benue, Delta, Niger, Ondo, Taraba provinces",,,,,,,,186816,Km2,995.267,115.28,,,2015,9,5,2015,9,24,53,,100420,,100420,,,,,25000,27299,91.5791170307852,1,2211;2213;2215;2218;2223;2224;2225;2226;2227;2231;2239;2240;65699;65704;65706;65709;65710,,"Adamawa, Anambra, Bauchi, Benue, Delta, Gombe, Jigawa, Kaduna, Kano, Katsina, Kebbi, Niger, Ondo, Sokoto, Taraba, Yobe, Zamfara (Adm1). "
2015-0446-NIC,2015,0446,,Natural,Hydrological,Flood,Riverine flood,,,Nicaragua,NIC,Central America,Americas,Chinandega province,Raini season,,,,,,,,Km2,,,,,2015,9,22,2015,9,29,2,,3750,,3750,,,,,,,91.5791170307852,1,2189,,Chinandega (Adm1). 
2015-0306-NPL,2015,0306,,Natural,Hydrological,Landslide,Landslide,,,Nepal,NPL,Southern Asia,Asia,"Kaski area (Gandaki district, Western province), Myagdi area (Dhawalagiri district, Western province), Chitwan area (Narayani district, Central province), Taplejung area (Mechi district, Eastern province)",Heavy rains,,,,,,,,,,,,,2015,7,29,2015,8,,29,18,,,18,,,,,,,91.5791170307852,2,,22353;22355;22362;22363,"Dhawalagiri, Gandaki, Mechi, Narayani (Adm2). "
2015-0256-NZL,2015,0256,,Natural,Hydrological,Flood,Riverine flood,,,New Zealand,NZL,Australia and New Zealand,Oceania,"Horowhenua, Manawatu, Rangitikei, Whanganui areas (Wanganui-manawatu province), Taranaki province",Heavy rains,,,,,,,8949,Km2,-39.8648,175.23,,,2015,6,22,2015,6,29,,,400,,400,,,,,171000,186724,91.5791170307852,1,2180;2182,,"Taranaki, Wanganui-manawatu (Adm1). "
2015-0206-NZL,2015,0206,,Natural,Hydrological,Flood,,,,New Zealand,NZL,Australia and New Zealand,Oceania,Wellington province,Heavy rains,,,,,,,7484,Km2,-41.092,175.35,,,2015,5,13,2015,5,21,1,,100,,100,,,,,100000,109195,91.5791170307852,1,2183,,Wellington (Adm1). 
2015-0476-PAK,2015,0476,EQ-2015-000147,Natural,Geophysical,Earthquake,Ground movement,,,Pakistan,PAK,Southern Asia,Asia,"Islamabad District district (Islamabad province), Chakwal District, Gujranwala District, Jhang District, Jhelum District, Kasur District, Mianwali District, Multan District, Muzaffargarh District, Narowal District, Rawalpindi District, Sahiwal District, Sargodha District, Sheikhupura District districts (Punjab province), Azad area (Jammu and Kashmir province), North-West Frontier province",,,,,,,,8,Richter,36.5244,70.3676,14:09,,2015,10,25,2015,10,25,280,1745,366945,133900,502590,,,,,,,91.5791170307852,1;2,2275;40408,23638;23656;23661;23662;23663;23668;23670;23674;23676;23677;40360;40373;40375;40381,"Jammu and Kashmir (Administrative unit not available), North-West Frontier (Adm1). Chakwal District, Gujranwala District, Islamabad District, Jhang District, Jhelum District, Kasur District, Mianwali District, Multan District, Muzaffargarh District, Narowal District, Rawalpindi District, Sahiwal District, Sargodha District, Sheikhupura District (Adm2). "
2015-0571-PAK,2015,0571,,Natural,Geophysical,Earthquake,Ground movement,,,Pakistan,PAK,Southern Asia,Asia,Khyber Agency district (Federally Administrered Tribal Areas province),,,,,,,,6,Richter,36.4935,71.1263,,,2015,12,25,2015,12,25,3,85,,,85,,,,,,,91.5791170307852,2,,23632,Khyber Agency (Adm2). 
2015-0454-PAK,2015,0454,,Natural,Geophysical,Mass movement (dry),Rockfall,,,Pakistan,PAK,Southern Asia,Asia,"Gulistane Jauhar area (Karachi East District district, Sindh province)",,,,,,,,,,,,,,2015,10,13,2015,10,13,13,,,,,,,,,,,91.5791170307852,2,,40393,Karachi East District (Adm2). 
2015-0215-PAK,2015,0215,,Natural,Hydrological,Flood,Flash flood,,,Pakistan,PAK,Southern Asia,Asia,Khuzdar district (Balochistan province),Torrential rains,,,,,,,,Km2,,,,,2015,6,4,2015,6,5,20,,,,,,,,,,,91.5791170307852,2,,40300,Khuzdar District (Adm2). 
2015-0124-PAK,2015,0124,,Natural,Hydrological,Flood,Riverine flood,,,Pakistan,PAK,Southern Asia,Asia,"Federally Administered Tribal Areas, North-West Frontier, Punjab provinces",,,,,,,,,Km2,,,,,2015,2,24,2015,3,3,32,,,,,,,,,,,91.5791170307852,1,2273;2275;2276,,"Federally Administered Tribal Areas, North-West Frontier, Punjab (Adm1). "
2015-0333-PAK,2015,0333,,Natural,Hydrological,Flood,Riverine flood,,,Pakistan,PAK,Southern Asia,Asia,"Rawalpindi District (Punjab province), Islamabad District (Islamabad province), Jammu and Kashmir provinces",,,,,,,,,Km2,,,,,2015,7,7,2015,7,13,18,,,,,,,,,,,91.5791170307852,1;2,40408;40409,23638;23674,"Jammu and Kashmir (Administrative unit not available) (Adm1). Islamabad District, Rawalpindi District (Adm2). "
2015-0232-PAK,2015,0232,,Natural,Meteorological,Extreme temperature ,Heat wave,,,Pakistan,PAK,Southern Asia,Asia,"Sindh, Punjab provinces",,,,,,Yes,,45,°C,,,,,2015,6,18,2015,6,24,1229,,80000,,80000,,,,,,,91.5791170307852,1,2276;2277,,"Punjab, Sindh (Adm1). "
2015-0288-PAK,2015,0288,,Natural,Hydrological,Flood,,,,Pakistan,PAK,Southern Asia,Asia,North-West Frontier province,Torrential rain,,,,,,,73485,Km2,35.0129,72.84,,,2015,6,25,2015,6,29,10,,,,,,,,,,,91.5791170307852,1,2275,,North-West Frontier (Adm1). 
2015-0291-PAK,2015,0291,FL-2015-00090,Natural,Hydrological,Flood,,,,Pakistan,PAK,Southern Asia,Asia,"Punjab, Jammu and Kashmir, North-West Frontier, Balochistan, Sindh provinces",Torrential rain,,,,,,,137040,Km2,34.3432,72.27,,,2015,7,15,2015,8,19,238,232,1572191,,1572423,,,,,,,91.5791170307852,1,2272;2275;2276;2277;40408;40409;40422;40423;40424;40425;40426;40427;40428;40429;40430;40431,,"Balochistan, Jammu and Kashmir (Administrative unit not available), North-West Frontier, Punjab, Sindh (Adm1). "
